35	343
15	146
90	881
68	666
77	754
69	675
41	401
90	881
9	87
40	392
53	519
67	656
36	352
74	725
73	715
48	470
39	382
56	548
47	460
19	186
62	607
81	793
28	274
82	803
5	48
20	195
57	558
4	39
24	235
7	68
18	176
90	881
82	803
88	862
51	499
29	284
59	577
11	107
71	696
60	588
22	215
99	969
34	332
6	59
88	862
90	881
87	852
95	930
73	715
96	940
95	931
41	402
42	412
24	235
90	881
67	656
4	39
68	666
3	29
32	313
23	225
62	607
4	39
35	343
55	538
86	843
81	793
97	950
98	960
11	108
87	852
56	548
82	803
28	274
59	578
90	882
43	421
54	529
79	774
16	156
88	862
18	176
25	245
35	343
38	372
1	9
95	931
58	568
78	764
56	548
34	333
76	744
61	598
91	892
75	734
73	714
7	69
20	196
44	431
30	294
42	412
42	411
15	147
73	715
81	793
17	166
96	940
85	833
17	166
58	568
42	411
13	127
36	353
39	382
30	294
39	382
16	156
13	127
5	48
22	215
62	607
50	489
9	87
46	450
14	137
2	19
32	313
38	372
44	431
83	813
98	959
64	626
49	480
74	725
6	58
50	490
62	607
34	332
53	519
76	745
55	538
67	656
12	117
4	39
30	294
31	303
9	87
95	930
59	577
30	294
71	696
24	234
43	421
89	872
92	901
70	685
25	245
61	598
87	852
46	451
19	185
98	960
79	774
91	892
78	764
74	725
50	489
41	402
38	372
31	304
25	244
26	255
60	587
18	176
89	871
57	558
36	352
60	587
32	313
93	911
67	656
28	274
42	412
81	794
5	49
67	656
78	764
56	548
33	323
75	735
12	117
50	490
83	813
41	401
45	441
88	862
85	833
13	127
59	578
62	607
61	597
52	509
10	98
11	107
87	852
99	969
23	225
29	284
29	284
79	774
36	352
